AI systems ,audit,bias_fairness,board_directors,privacy,explainability_transparency,security,reliability,accountability,human_oversight,data_data_governance,development,model_training,deployment_maintenance,environmental,ethical,third_party_supply_chain,organizational_business_process,policies_procedures_documentation,incident_management,legal_regulatory,customer_reputational,fraud_defalcation,human_factors_social_psychographic,intellectual_property,meta_cognitive_meta_governance,operations_model_management,shadow_unauthorized_ai,risk_management_liability_insurance,staff_training_skill,staff_dislocation_retraining,roi,cloud_provider_technical_environment,ai_technical,agents and agent orchestration,LLM/prompting
Developer or coding assistant,0,0,0,0,0,13.8,10.3,0,0,0,13.8,0,10.3,0,0,0,0,0,0,10.3,0,0,0,17.4,0,0,10.3,0,0,0,0,0,0,0,13.8
Sensitive-data AI use case,10,0,0,16.7,0,16.7,0,10,0,13.3,0,0,0,0,0,0,0,10,10,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model training or fine-tuning,0,18.6,0,11.1,0,0,0,0,0,14.8,11.1,18.5,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,14.8,0,0
Autonomous or multi-agent system,0,0,0,0,0,18.2,18.2,18.2,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,0
AI built into our product,0,0,0,0,0,10.7,14.3,10.7,0,0,14.3,0,14.3,0,0,0,0,0,0,10.7,14.3,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0
AI embedded in third party software we use,0,0,0,14.3,0,14.3,0,0,0,10.7,0,0,0,0,0,17.9,0,10.7,0,10.7,0,0,0,0,0,0,10.7,10.7,0,0,0,0,0,0,0
"AI used to research legal, scientific, medical topics",0,10.3,0,0,13.8,0,17.4,10.3,13.8,0,0,0,0,0,0,0,0,0,0,13.8,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,10.3
AI used to prepare legal or regulatory reporting,16.7,0,0,0,10,0,13.3,13.3,10,0,0,0,0,0,0,0,0,10,0,16.7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"AI used in hiring, vetting staff",0,17.4,0,13.8,10.3,0,0,10.3,13.8,0,0,0,0,0,10.3,0,0,0,0,13.8,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0
"AI used in making ""harm-potential"" decisions about humans",0,18.2,0,0,0,0,0,22.7,22.7,0,0,0,0,0,18.2,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud/Other / not sure,0,0,0,12.5,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,12.5,12.5,0,0,0,12.5,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
