QID Code,Risk ID,Risk Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_59,R_AR_120,Hot-swapping tools effectively becomes a software supply chain attack. The malicious tool may execute arbitrary code or return manipulated outputs that influence agent decisions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_60,R_AR_121,"If a rate limiter is too permissive with input tokens (which are processed in parallel and are computationally dense) but strict on output tokens, it can lead to GPU starvation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_60,R_AR_122,"Conversely, if the rate limiter treats input and output tokens as having equal ""weight"" or cost, you risk under-utilizing the hardware.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_61,R_AR_123,"When you enforce per-identity fairness within a global pool, you often use a Token Bucket or Leaky Bucket algorithm. The risk here is a phenomenon known as Scheduling Jitter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_61,R_AR_124,"When you enforce per-identity fairness within a global pool, you often use a Token Bucket or Leaky Bucket algorithm. The risk here is a phenomenon known as Scheduling Jitter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_62,R_AR_125,"High token-cost models (long context, multimodal) can rapidly deplete shared capacity, causing queue buildup, timeouts, or elevated latencies for other workloads. This can breach customer-facing SLAs/SLOs during traffic spikes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_62,R_AR_126,"Token-cost–aware scaling can increase throughput on premium models, causing runaway usage costs and budget overruns if not governed. Forecasting becomes difficult when token mix shifts (e.g., sudden move to longer prompts or larger models).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_63,R_AR_127,"Weighted limits can be gamed (e.g., splitting workloads across models/tenants, prompt inflation to shift cost), leading to tenant unfairness and abuse (e.g., background batch jobs starving interactive traffic).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_63,R_AR_128,"Data is ingested without valid consent or contractual rights (e.g., missing/incorrect metadata, outdated licenses), leading to regulatory exposure (GDPR/CPRA), takedown orders, and remediation costs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_64,R_AR_129,"Datasets initially approved for operations or analytics are repurposed for AI training/inference without fresh consent or lawful basis, causing privacy breaches, reputational harm, and contract violations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_64,R_AR_130,"Marketing or compliance statements imply a per‑data‑point, cryptographically verifiable “birth certificate” proving influence on weights. When auditors discover the guarantee only covers inclusion/lineage, not influence, you face regulatory, contractual, or reputational exposure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_65,R_AR_131,"Detailed provenance (sources, license terms, consent artifacts) needed for cryptographic attestations can expose sensitive supplier IP or re‑identify individuals, especially if provenance logs are widely accessible.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_65,R_AR_132,"A dataset’s license or ToS changes upstream (or was misclassified), and the pipeline continues to use it for prohibited purposes (e.g., training with a non‑commercial or “no‑AI” license), resulting in copyright/contract violations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_66,R_AR_133,"3rd‑party/open‑source datasets often have missing, conflicting, or custom licenses, leading to false positives (blocking legitimate use) or false negatives (ingesting restricted data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_66,R_AR_134,"If the audit trail does not capture every transformation or lacks cryptographic integrity, the organization cannot prove compliance, correct errors, or defend model outputs during audits or legal challenges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_67,R_AR_135,"Human interventions—corrections, labeling changes, or annotation adjustments—may be recorded inconsistently or outside automated systems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_67,R_AR_136,"Untrusted user content or retrieved documents (RAG) include instruction-like text (e.g., “ignore previous instructions”), which the model follows if channels/roles aren’t strictly separated or if user content is not escaped—leading to policy bypass, unsafe tool use, or data leakage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_68,R_AR_137,"Misconfiguration allows user inputs to be injected into the system/developer role or changes instruction precedence (e.g., templating errors, runtime overrides), causing inconsistent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_68,R_AR_138,Ineffective Detection of Jailbreak or Safety-Bypass Intent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_69,R_AR_139,Excessive Blocking or Misclassification of Legitimate User Intent (False Positives),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_69,R_AR_140,"If primary safety controls (prompt filters, policy classifiers, or guardrail models) are bypassed, the AI system may continue operating normally without triggering a safe-failure state, resulting in uncontrolled or harmful outputs and unauthorized actions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_70,R_AR_141,"When safety mechanisms degrade, fail, or are bypassed, the system may attempt to continue operation or self-recover without entering a controlled safe state, increasing the probability of cascading failures, unsafe outputs, or policy violations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_70,R_AR_142,"AI input monitoring mechanisms may fail to identify when users attempt to extract, reconstruct, or infer sensitive information (e.g., personal data, credentials, proprietary content) through prompts, resulting in unauthorized disclosure or regulatory violations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_71,R_AR_143,"AI input monitoring systems may incorrectly classify benign inputs as sensitive data exfiltration attempts or collect excessive user data during monitoring, resulting in unnecessary blocking, privacy concerns, or regulatory exposure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_71,R_AR_144,"If data minimization controls are not applied, the AI system may collect, process, or retain more user prompt data than necessary for the intended purpose, increasing the risk of privacy breaches, regulatory non-compliance, and unauthorized data exposure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_72,R_AR_145,"Excessive or improperly implemented data minimization may remove critical contextual information from user prompts, reducing the effectiveness of security monitoring, incident investigation, model performance, or compliance auditing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_72,R_AR_146,"Even when sensitive data leakage is detected, inadequate incident response or containment mechanisms may allow continued exposure, increasing operational, legal, and financial impact.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_73,R_AR_147,"If the AI system does not technically distinguish or enforce separation between trusted developer instructions and untrusted user input at the token or context level, malicious user content may override or manipulate system behavior, leading to prompt injection, policy bypass, or unauthorized actions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_73,R_AR_148,"Overly strict or incorrect distinction between trusted and untrusted inputs may result in legitimate developer or operational instructions being ignored, degraded, or blocked, causing system malfunction or business disruption.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_74,R_AR_149,"Since the AI might assume external sources are trustworthy, it could execute or suggest harmful actions even without a malicious user prompt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_74,R_AR_150,"Decisions, recommendations, or generated code could be unsafe, incorrect, or non-compliant. This is a supply-chain risk for knowledge — the AI’s reasoning can be poisoned without a user ever asking for it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_75,R_AR_151,"There is a risk that the AI content detector incorrectly flags safe or legitimate inputs as unsafe (false positive), which could disrupt business operations, block valid user actions, or reduce system efficiency.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_75,R_AR_152,"“There is a risk that the AI content detector fails to identify unsafe, malicious, or policy-violating content (false negative), potentially resulting in security breaches, regulatory non-compliance, or harmful outputs being generated or executed.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_76,R_AR_153,"Sophisticated or low-amplitude attacks (e.g., clean-label poisoning, gradual distribution shift) evade statistical detectors, allowing bias or backdoors into the model without triggering alerts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_76,R_AR_154,"Over-sensitive thresholds flag legitimate minority or rare-event data as “outliers,” causing coverage gaps, degraded fairness, and performance collapse on edge cases.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_77,R_AR_155,"Automated PII detectors may miss edge‑case formats, multilingual content, or domain‑specific identifiers, causing raw PII to enter vector stores or training storage, where it becomes nearly impossible to delete or trace. This leads to privacy violations, regulatory exposure (GDPR/CPRA), and data contamination.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_77,R_AR_156,"Over‑aggressive redaction may strip meaningful information (e.g., medical codes, addresses used for geospatial features), producing distorted features, inaccurate embeddings, and degraded model performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_78,R_AR_157,"Agents or tools with direct egress (e.g., library defaults, sidecar containers) skip the proxy, ingesting unvetted content and enabling injection‑driven tool abuse or data exfiltration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_78,R_AR_158,"Novel or obfuscated IPIs evade filters (false negatives), or aggressive filters degrade utility (false positives), harming agent accuracy or safety.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_79,R_AR_159,"Employees upload proprietary documents or code to consumer AI tools (or personal accounts of enterprise tools), resulting in loss of trade secrets, license contamination, or breach of customer/partner obligations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_79,R_AR_160,"Partial coverage (no proxy on some devices, BYOD, mobile apps, direct API clients, or VPN bypass) creates blind spots, leading leadership to overestimate control while exfiltration continues via unmonitored channels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_80,R_AR_161,"If schema drift isn’t quarantined (or validators are permissive), malformed records get coerced to nulls/defaults, causing feature skew, degraded model accuracy, and hard‑to‑diagnose incidents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_80,R_AR_162,"Quarantining without good observability can create piles of stale bad data and noisy alerts, leading teams to ignore real issues or to disable controls.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_81,R_AR_163,"Without circuit breakers, a downstream system bug, partner misconfiguration, or malicious actor could cause massive ingestion volume spikes, resulting in sudden cost explosions (compute, storage, API tokens) before humans can react. This may blow through quarterly budgets or cause automatic service shutdowns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_81,R_AR_164,"Sudden ingestion surges can overwhelm storage layers, queues, or LLM gateways, causing backpressure, timeouts, degraded model performance, or even multi-system cascading failures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_82,R_AR_165,"Without HYOK, model weights are encrypted using provider‑controlled keys, meaning the cloud operator (or compromised IAM/privilege escalation) could decrypt them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_82,R_AR_166,"f cloud‑provider‑managed keys protect the model weights, a government subpoena, discovery order, or cross‑tenant flaw could allow access to plaintext weights without your approval.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_83,R_AR_167,"Misconfigured backups, caching layers, CDNs, or auto‑failover policies may silently replicate data to unapproved jurisdictions, resulting in regulatory violations (GDPR, HIPAA, contractual residency clauses) and potential breach notifications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_83,R_AR_168,"Third‑party tools, plugins, observability agents, or AI extensions may transmit data to global endpoints, bypassing geofence controls and causing unmonitored data exports to foreign regions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_84,R_AR_169,"If identity binding or key‑release policies are misconfigured (e.g., overly broad IAM roles, stale service accounts, or missing MFA requirements), unauthorized users or compromised workloads could decrypt sensitive data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_84,R_AR_170,"If the identity‑based decryption path relies on fragile infrastructure (e.g., external HSM unreachable, policy server outage, identity token expiration), legitimate users may be blocked from decrypting critical data, causing system downtime and ingestion/training failures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_85,R_AR_171,"Without WORM storage, “Gold Standard” datasets can be modified—accidentally or maliciously—leading to label drift, hidden bias, degraded model performance, or backdoor injection that is nearly impossible to trace.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_85,R_AR_172,"If Gold Standard data can be edited or overwritten, the organization cannot prove dataset integrity during audits, legal reviews, or safety investigations. This undermines model reproducibility, chain‑of‑custody, and compliance with data‑governance controls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_86,R_AR_173,"If the public API can directly query the vector DB—or if responses leak raw embeddings, excessive top‑k results, or unfiltered documents—an attacker can iteratively reconstruct private content or re‑identify individuals by probing the embedding space.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_86,R_AR_174,"Weak multi‑tenancy (shared namespaces, missing metadata filters, or misbound ACLs) allows a user from Tenant A to retrieve high‑similarity results from Tenant B, causing data leakage without any obvious exploit beyond normal queries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_87,R_AR_175,"If scaling/normalization is fit on the combined dataset (train + test), the model unintentionally learns patterns using information from the future, producing unrealistically high validation scores that fail in production.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_87,R_AR_176,"Leakage breaks model integrity and auditability—regulators or auditors may view the model as invalid or misrepresentative, especially in high‑stake domains (health, finance, hiring). This can lead to failed audits, remediation orders, or compliance violations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_88,R_AR_177,"Seemingly neutral cleaning steps (e.g., aggressive outlier clipping, language normalization, OCR filters, dedup heuristics) disproportionately drop or distort minority group examples, reducing representation and harming performance for those users without obvious model‑level red flags.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_88,R_AR_178,"Lack of automated fairness audits (or missing artifacts) makes it impossible to demonstrate due diligence under AI governance policies or regulatory frameworks, leading to failed audits, remediation orders, or deployment delays—especially in regulated sectors (healthcare, financial services, employment).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_89,R_AR_179,"Attackers (or downstream integrators) reconstruct PII from embeddings or infer membership/attributes, leading to privacy breaches, regulatory exposure (GDPR/CPRA/HIPAA), and partner contract violations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_89,R_AR_180,"Assuming “embeddings aren’t reversible” without empirical testing leads to undetected leakage, poor architectural choices (e.g., sharing vectors), and audit failures when evidence is requested.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_90,R_AR_181,"Is every ""missing value"" filled in by your processing logic tagged with metadata, so the model knows it is making a decision based on ""Synthetic"" data?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_90,R_AR_182,"Without metadata showing which values were synthetic, auditors and risk teams cannot reconstruct why a model made a decision, leading to failed model‑risk reviews, compliance violations, or inability to justify outcomes in regulated domains.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_91,R_AR_183,"Without cryptographic linkage, it becomes impossible to prove which ETL version produced the model. This results in audit failures, failed explainability reviews, and inability to defend model decisions—especially in regulated domains (finance, healthcare, insurance).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_92,R_AR_185,"Without sanitization, attackers can embed hidden Unicode characters, adversarial perturbations, or tokenization‑breaking sequences that cause the model to misclassify, leak data, follow undesired instructions, or bypass guardrails.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_92,R_AR_186,"Hidden characters or malformed data (even if not malicious) can create feature drift, degrade embedding quality, distort token counts, and introduce training/serving skew.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_93,R_AR_187,"If entropy or variance‑retention is not monitored, PCA/compression may remove subtle but essential features—such as medical risk markers, fraud indicators, or minority‑group patterns—leading to unsafe or biased decisions that are difficult to detect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_93,R_AR_188,"Excessive compression can destroy the traceable link between inputs and decisions, reducing interpretability and making it impossible to meet regulatory explainability requirements (e.g., healthcare, lending, HR).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_94,R_AR_189,"Without cryptographic lineage between model, run, and data snapshot, you cannot prove which data trained the model—leading to failed audits, inability to reproduce results, and regulatory/compliance findings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_94,R_AR_190,"Aggressive per‑example attribution or membership inference can expose sensitive records or imply their presence in training, violating privacy or partner agreements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_95,R_AR_191,"If stale metadata is not flagged, downstream pipelines continue assuming the old schema, leading to silently corrupted features, broken joins, incorrect imputations, or invalid transformations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_95,R_AR_192,"Stale metadata undermines trust in catalog lineage—auditors and risk teams cannot be sure which version of the data a model used, resulting in failed compliance checks, reproducibility issues, and governance violations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_96,R_AR_193,"If the original collection purpose is not encoded in metadata, downstream AI workflows may re‑purpose data (e.g., using Support data for Marketing or Training), resulting in violations of GDPR/CPRA, customer contracts, and internal data‑governance policies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_96,R_AR_194,"Without purpose metadata, the organization cannot demonstrate why the data was collected, making it impossible to justify its use in audits, investigations, or model‑risk reviews.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_97,R_AR_195,"Quality checks run on batch intervals (hourly/daily), so drift/null explosions slip through and contaminate live features before alerts reach the steward.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_97,R_AR_196,"Alerts are generated but not delivered (muted channels, email spam traps, broken webhooks, expired on‑call rotations), so no one acts while models degrade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_98,R_AR_197,"AI detectors miss edge cases (multilingual content, unusual identifiers, scanned docs, code comments), allowing unlabeled PII into vector databases, embeddings, or training sets—where it’s hard to remove and may leak through model outputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_98,R_AR_198,"Over‑sensitive tagging flags benign fields as PII, causing unnecessary masking/quarantines, slowing teams and degrading model performance (e.g., masking product IDs mistaken as account numbers).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_99,R_AR_199,"Policies exist only in the catalog (documentation) but are not wired into runtime (ETL, feature store, RAG, model training). Result: inconsistent enforcement, gaps in new services, and false assurance during audits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_100,R_AR_201,"Without real‑time (or near real‑time) drift alerts, feature distributions can shift (seasonality changes, upstream schema tweaks, population shifts), causing accuracy and fairness degradation that remains undetected until business KPIs fall.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_100,R_AR_202,"Coarse, global drift metrics trigger frequent false alarms or miss segment‑specific issues (e.g., language/region minority drift), leading to alert fatigue or unseen fairness failures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_101,R_AR_203,"Missing or incomplete manifests/logs prevent you from proving which data trained a model → failed audits, remediation orders, or forced takedowns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_101,R_AR_204,"Evidence exists but is scattered (buckets, job logs, notebooks), causing >72‑hour delays assembling audit packs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_102,R_AR_205,"Without a synthetic‑data gate, AI‑generated content reenters training, causing self‑reinforcement (the model learns its own artifacts), reduced diversity, and performance degradation—especially on edge cases and minority patterns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_102,R_AR_206,"Synthetic outputs can amplify existing biases or inject subtle artifacts; if they contaminate evaluation sets, metrics become inflated and misleading, leading to failed audits and unsafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_103,R_AR_207,"If exception data bypasses human review, corrupted or low‑quality records can enter high‑stakes ML systems, causing biased decisions, unfair outcomes, safety hazards, or financial harm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_103,R_AR_208,"Without documented human sign‑off, the organization cannot prove that data exceptions were properly assessed. This results in failed audits, inability to justify model decisions, regulatory non‑compliance, and forced rollback of entire models.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_104,R_AR_209,Static username/role-based access controls cannot interpret intent. A user with broad permissions may unintentionally or maliciously use data for unauthorized or high‑risk purposes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_104,R_AR_210,"Without risk‑adaptive policies, the system won’t react when a user suddenly pulls unusually large volumes, accesses high‑sensitivity data, or uses a new device/region, leading to delayed detection of breaches.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_105,R_AR_211,"Even neutral‑looking rules (e.g., outlier removal, length filters, dedup heuristics, OCR confidence thresholds) can silently delete minority-group records at higher rates, leading to representation loss, biased training data, and unfair downstream model predictions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_105,R_AR_212,"Regulators increasingly scrutinize upstream preprocessing bias, not just model outputs. If your quality rules disproportionately filter out protected groups—and you cannot prove you test for this—you risk failed audits, compliance violations, and forced model rollback.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_106,R_AR_213,"If sensitivity tags drop off during transfers (API response, ETL job, bucket‑to‑bucket copy), downstream systems may treat secret/PII data as non‑sensitive, resulting in:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_106,R_AR_214,"Tags may evolve differently across systems (e.g., Azure → “Confidential” but AWS → “Internal”), creating policy drift where the same data is treated with different levels of protection depending on where it lives.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_107,R_AR_215,"If the system uses shared or long‑lived decryption keys instead of identity‑based keys, a compromised account or insider with broad access could decrypt entire datasets, including PII, PHI, or confidential data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_107,R_AR_216,"If key release is tied only to identity (who) but not intent (why), a user or service may decrypt data for disallowed purposes (e.g., pulling Support data to train a model or exporting confidential datasets to a 3rd‑party AI tool).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_108,R_AR_217,"If AI agents share a broad or “admin” API key, any agent—especially one influenced by prompt injection—can query the entire database, not just the rows it is meant to access.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_108,R_AR_218,"If agents use shared credentials, you cannot identify which agent accessed what, making it impossible to detect misuse or contain an incident.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_109,R_AR_219,"Without automated throttling and anomaly detection, attackers—or compromised AI agents—can scrape large portions of your database extremely quickly, exposing PII, confidential business data, customer records, or embeddings used for RAG.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_109,R_AR_220,"High‑frequency queries allow adversaries to perform inference‑based reconstruction, membership inference, or embedding sweeps, effectively reverse‑engineering sensitive training data or approximating protected outputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
