QID Code,Domain,Department,Category,Cluster,Question Text,Response Type,Trigger Points,Is Universal
AR_01,General,AI Engineering,agents_and_agent_orchestration,Cluster 5 — Operational & Infrastructure Risk,Do you have a strategy for token expiry versus long-running AI tasks?,Yes | No | Partial | Not Applicable,,0
AR_19,General,IT Infrastructure,incident_response_recovery,Cluster 5 — Operational & Infrastructure Risk,Do you consider a “safe failure” protocol if a bouncer is bypassed?,Yes | No | Partial | Not Applicable,,0
AR_20,General,Data & Privacy,data_security_protection,"Cluster 2 — Data, Privacy & Information Assets",How is the AI system’s input monitored for sensitive data exfiltration?,Yes | No | Partial | Not Applicable,,0
AR_21,General,Data & Privacy,privacy_personal_data_protection,"Cluster 2 — Data, Privacy & Information Assets",Do you apply any data minimization techniques to the user’s prompt?,Yes | No | Partial | Not Applicable,,0
AR_22,General,Governance & Compliance,risk_management_liability_insurance,"Cluster 4 — Governance, Compliance & Legal",How do you handle residual risk if a piece of sensitive data bypasses the filter?,Yes | No | Partial | Not Applicable,,0
AR_23,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Does your system technically distinguish between “Trusted Developer Instructions” and “Untrusted User Input” at the token level?,Yes | No | Partial | Not Applicable,,0
AR_24,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Do your detectors handle instructions that are not entered by the user but are retrieved from external sources such as RAG databases or web searches?,Yes | No | Partial | Not Applicable,,0
AR_25,General,AI Engineering,model_validation_testing,Cluster 1 — AI Technical & Model Integrity,"Are the documented false positive and false negative rates available for your detector, and how does the system behave when a detection “hit” occurs?",Yes | No | Partial | Not Applicable,,0
AR_26,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Do you use automated statistical monitoring to detect and block “outlier” data batches that could intentionally bias or poison your model?,Yes | No | Partial | Not Applicable,,0
AR_27,General,Data & Privacy,privacy_personal_data_protection,"Cluster 2 — Data, Privacy & Information Assets",Is there a “privacy buffer” that automatically redacts PII (sensitive information) before it reaches your primary AI storage or RAG system?,Yes | No | Partial | Not Applicable,,0
AR_28,General,AI Engineering,agents_and_agent_orchestration,Cluster 5 — Operational & Infrastructure Risk,"If you use AI agents to fetch data, do you have an inspection proxy to ensure they are not ingesting “indirect prompt injections” from the web?",Yes | No | Partial | Not Applicable,,0
AR_29,General,Risk & Security,shadow_unauthorized_ai,Cluster 5 — Operational & Infrastructure Risk,"Do you have visibility into secondary ingestion (e.g., employees uploading proprietary PDFs or code to unsanctioned AI tools)?",Yes | No | Partial | Not Applicable,,0
AR_30,General,Data & Privacy,data_governance_quality_lineage_enterprise,"Cluster 2 — Data, Privacy & Information Assets",Does the system automatically quarantine data that violates your format (schema drift) rather than allowing null or garbage values to pass?,Yes | No | Partial | Not Applicable,,0
AR_31,General,AI Engineering,mlops_model_operations_management,Cluster 5 — Operational & Infrastructure Risk,Are circuit breakers in place to stop the ingestion stream if the volume (and cloud cost) spikes unexpectedly?,Yes | No | Partial | Not Applicable,,0
AR_32,General,Data & Privacy,data_security_protection,"Cluster 2 — Data, Privacy & Information Assets",Are your model weights encrypted with Hold Your Own Key (HYOK) technology so the cloud provider cannot see them?,Yes | No | Partial | Not Applicable,,0
AR_33,General,Governance & Compliance,legal_regulatory_compliance,"Cluster 4 — Governance, Compliance & Legal",Do you have hard-coded geofencing that prevents AI data from being replicated to servers outside your legal jurisdiction?,Yes | No | Partial | Not Applicable,,0
AR_34,General,Data & Privacy,data_access_control_usage,"Cluster 2 — Data, Privacy & Information Assets","Does your storage layer support identity-based decryption, where data is only decrypted when a specific authorized user requests it?",Yes | No | Partial | Not Applicable,,0
AR_35,General,Data & Privacy,data_security_protection,"Cluster 2 — Data, Privacy & Information Assets","Are your gold standard training sets stored in WORM (Write Once, Read Many) storage to prevent accidental or malicious tampering?",Yes | No | Partial | Not Applicable,,0
AR_36,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Is your vector database logically separated from your public-facing APIs to prevent inference-based reconstruction attacks?,Yes | No | Partial | Not Applicable,,0
AR_37,General,AI Engineering,model_training_data_management,Cluster 1 — AI Technical & Model Integrity,Do you apply transformation steps (such as scaling or normalization) separately to training and test sets to prevent future data from leaking into the training phase?,Yes | No | Partial | Not Applicable,,0
AR_38,General,Ethics & Responsible AI,bias_fairness_discrimination,Cluster 3 — Responsible AI & Ethics,Do you run automated fairness audits on your transformed features to ensure cleaning scripts have not inadvertently removed or skewed minority group data?,Yes | No | Partial | Not Applicable,,0
AR_39,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Have you tested whether your transformed embeddings can be mathematically reversed to reconstruct the original sensitive PII?,Yes | No | Partial | Not Applicable,,0
AR_40,General,Data & Privacy,data_governance_quality_lineage_enterprise,"Cluster 2 — Data, Privacy & Information Assets",Is every missing value filled in by your processing logic tagged with metadata so the model knows it is making a decision based on synthetic data?,Yes | No | Partial | Not Applicable,,0
AR_41,General,Data & Privacy,data_governance_quality_lineage_enterprise,"Cluster 2 — Data, Privacy & Information Assets",Is the specific version of the transformation code (ETL) cryptographically linked to the specific version of the model it produced?,Yes | No | Partial | Not Applicable,,0
AR_42,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Does your pipeline include an input sanitization layer that strips out hidden characters or noise designed to trigger an adversarial attack?,Yes | No | Partial | Not Applicable,,0
AR_43,General,AI Engineering,model_training_data_management,Cluster 1 — AI Technical & Model Integrity,Do you monitor information entropy to ensure that your transformation (such as PCA or compression) is not stripping away the nuances required for safe decision-making?,Yes | No | Partial | Not Applicable,,0
AR_44,General,Data & Privacy,data_governance_quality_lineage_enterprise,"Cluster 2 — Data, Privacy & Information Assets",Can you automatically trace a specific AI output back through the model version to the exact raw data used to train it?,Yes | No | Partial | Not Applicable,,0
AR_45,General,Data & Privacy,data_governance_quality_lineage_enterprise,"Cluster 2 — Data, Privacy & Information Assets",Does the catalog automatically flag stale metadata if the underlying data source has changed its schema or volume in the last 24 hours?,Yes | No | Partial | Not Applicable,,0
AR_46,General,Data & Privacy,data_governance_quality_lineage_enterprise,"Cluster 2 — Data, Privacy & Information Assets","Is the original purpose of data collection (e.g., marketing vs. support) hard-coded into the metadata for every dataset?",Yes | No | Partial | Not Applicable,,0
AR_47,General,Data & Privacy,data_governance_quality_lineage_enterprise,"Cluster 2 — Data, Privacy & Information Assets",Is every AI-ready data asset assigned to a human data steward who is alerted when the asset’s quality score drops?,Yes | No | Partial | Not Applicable,,0
AR_48,General,Data & Privacy,privacy_personal_data_protection,"Cluster 2 — Data, Privacy & Information Assets",Does the catalog use AI to automatically discover and tag shadow PII (hidden sensitive information) that humans might have missed?,Yes | No | Partial | Not Applicable,,0
AR_49,General,Data & Privacy,data_governance_quality_lineage_enterprise,"Cluster 2 — Data, Privacy & Information Assets","Are usage policies (e.g., “Do not use for credit scoring”) embedded in the metadata and programmatically enforced?",Yes | No | Partial | Not Applicable,,0
AR_50,General,AI Engineering,model_monitoring_drift_management,Cluster 1 — AI Technical & Model Integrity,Do you have real-time alerts that trigger when the statistical distribution of your data drifts (changes) from the original training set?,Yes | No | Partial | Not Applicable,,0
AR_51,General,Governance & Compliance,audit_assurance_review,"Cluster 4 — Governance, Compliance & Legal",Can you programmatically prove—within 72 hours—exactly which data was used to train a specific model if a regulator audits you?,Yes | No | Partial | Not Applicable,,0
AR_52,General,AI Engineering,model_training_data_management,Cluster 1 — AI Technical & Model Integrity,Do you have a quality gate that prevents AI-generated (synthetic) data from accidentally looping back into your training sets?,Yes | No | Partial | Not Applicable,,0
AR_53,General,Ethics & Responsible AI,human_oversight_intervention,Cluster 3 — Responsible AI & Ethics,Is there a mandatory human review for any data quality exceptions before that data is allowed to enter a high-risk model?,Yes | No | Partial | Not Applicable,,0
AR_54,General,Data & Privacy,data_access_control_usage,"Cluster 2 — Data, Privacy & Information Assets",Are your data access policies dynamic (checking user intent and risk level) rather than static (checking usernames)?,Yes | No | Partial | Not Applicable,,0
AR_55,General,Ethics & Responsible AI,bias_fairness_discrimination,Cluster 3 — Responsible AI & Ethics,Do you conduct adversarial bias testing on your data quality rules to ensure they are not accidentally deleting minority group data?,Yes | No | Partial | Not Applicable,,0
AR_56,General,Data & Privacy,data_security_protection,"Cluster 2 — Data, Privacy & Information Assets","Do your data tags (e.g., “Secret,” “PII”) stay attached to the data even when it is moved between different cloud systems or APIs?",Yes | No | Partial | Not Applicable,,0
AR_57,General,Data & Privacy,data_access_control_usage,"Cluster 2 — Data, Privacy & Information Assets",Do you enforce identity-based decryption where data is only decrypted when a verified user or service calls the API rather than having it ready in plaintext?,Yes | No | Partial | Not Applicable,,0
AR_58,General,AI Engineering,agents_and_agent_orchestration,Cluster 5 — Operational & Infrastructure Risk,Do your AI agents have their own unique least-privilege API keys that restrict them to specific data rows rather than the entire database?,Yes | No | Partial | Not Applicable,,0
AR_59,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,"Does your API automatically throttle or block requests if it detects an unusual pattern of data scraping (e.g., thousands of queries in a few seconds)?",Yes | No | Partial | Not Applicable,,0
AR_60,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Do you have a prompt firewall at the API level that inspects every request for indirect prompt injections before it reaches the data?,Yes | No | Partial | Not Applicable,,0
AR_61,General,Data & Privacy,data_security_protection,"Cluster 2 — Data, Privacy & Information Assets",Are your API tokens short-lived (expiring in minutes) and restricted to specific IP addresses or geographic regions?,Yes | No | Partial | Not Applicable,,0
AR_62,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Do you use automated tools to scan for ghost or zombie APIs—old endpoints that developers forgot to turn off but still have data access?,Yes | No | Partial | Not Applicable,,0
AR_63,General,Data & Privacy,data_security_protection,"Cluster 2 — Data, Privacy & Information Assets","Does the API monitor where the data is being sent, blocking any attempts to send large datasets to unauthorized external IP addresses?",Yes | No | Partial | Not Applicable,,0
AR_64,General,AI Engineering,model_monitoring_drift_management,Cluster 1 — AI Technical & Model Integrity,Do you have automated alerts for input drift (when the real-world data starts looking statistically different from your training data)?,Yes | No | Partial | Not Applicable,,0
AR_65,General,AI Engineering,model_monitoring_drift_management,Cluster 1 — AI Technical & Model Integrity,Can your monitoring tools correlate a model’s problematic output back to a specific upstream data transformation or ingestion error?,Yes | No | Partial | Not Applicable,,0
AR_66,General,AI Engineering,agents_and_agent_orchestration,Cluster 5 — Operational & Infrastructure Risk,Do you monitor token velocity and cost per resolution in real time to detect recursive agent loops or retry storms?,Yes | No | Partial | Not Applicable,,0
AR_67,General,AI Engineering,model_monitoring_drift_management,Cluster 1 — AI Technical & Model Integrity,Does your system alert you when the ground truth data in your vector database (RAG) is older than your business’s decision cycle?,Yes | No | Partial | Not Applicable,,0
AR_68,General,AI Engineering,agents_and_agent_orchestration,Cluster 5 — Operational & Infrastructure Risk,"Do you monitor the intent of autonomous agents, flagging when an agent’s actions deviate from its predefined policy envelope?",Yes | No | Partial | Not Applicable,,0
AR_69,General,AI Engineering,model_validation_testing,Cluster 1 — AI Technical & Model Integrity,Do you automatically run a gold standard test suite against your pipeline every hour to ensure updates have not introduced new biases?,Yes | No | Partial | Not Applicable,,0
AR_70,General,AI Engineering,mlops_model_operations_management,Cluster 5 — Operational & Infrastructure Risk,"Is your AI data monitoring integrated into your central IT single pane of glass (e.g., OpenTelemetry) rather than sitting in a siloed tool?",Yes | No | Partial | Not Applicable,,0
AR_71,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Do your AI accelerators have mitigations against GATEBLEED or similar side-channel attacks that leak training data via power-gating fluctuations?,Yes | No | Partial | Not Applicable,,0
AR_72,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,Have you allocated at least 75% of your compute budget for inference (serving) rather than just training?,Yes | No | Partial | Not Applicable,,0
AR_73,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,"If your cloud provider faces a three-month GPU shortage (like the “2025 Crunch”), can you switch to an alternative cluster or on-premises hardware in under 48 hours?",Yes | No | Partial | Not Applicable,,0
AR_74,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Does your compute layer have hardware-level mitigations against power-fluctuation side-channel attacks that can leak training data?,Yes | No | Partial | Not Applicable,,0
AR_75,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,Are you using dynamic GPU partitioning (sharing one GPU for many small tasks) rather than locking a full GPU for every job?,Yes | No | Partial | Not Applicable,,0
AR_76,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Does the infrastructure verify the cryptographic signature of the GPU/TPU firmware every time it reboots?,Yes | No | Partial | Not Applicable,,0
AR_77,General,AI Engineering,agents_and_agent_orchestration,Cluster 5 — Operational & Infrastructure Risk,Does your compute layer have an automated circuit breaker to terminate an AI agent’s session if it enters an infinite recursive loop?,Yes | No | Partial | Not Applicable,,0
AR_78,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,Is your compute architecture optimized for inference (low latency) separately from training (high throughput)?,Yes | No | Partial | Not Applicable,,0
AR_79,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,Does your network use RDMA (Remote Direct Memory Access) to bypass the CPU and move data directly from storage to GPU memory?,Yes | No | Partial | Not Applicable,,0
AR_80,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,Can your storage layer ingest a full model checkpoint (terabytes of data) in under 60 seconds without pausing the training cluster?,Yes | No | Partial | Not Applicable,,0
AR_81,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,"Is your storage architecture disaggregated, allowing you to scale capacity (petabytes) independently of compute performance (IOPS)?",Yes | No | Partial | Not Applicable,,0
AR_82,General,Data & Privacy,data_governance_quality_lineage_enterprise,"Cluster 2 — Data, Privacy & Information Assets","Do your training datasets and your production vector database (RAG) share a unified, searchable namespace?",Yes | No | Partial | Not Applicable,,0
AR_83,General,Data & Privacy,data_security_protection,"Cluster 2 — Data, Privacy & Information Assets",Do you have automated egress alerts that trigger if an AI agent or process begins moving more than 5 TB of data to a different cloud region?,Yes | No | Partial | Not Applicable,,0
AR_84,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,"Are you using NVMe-over-Fabrics (NVMe-oF) for all hot training data, with automated tiering to cold object storage for archived models?",Yes | No | Partial | Not Applicable,,0
AR_85,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,Does your orchestrator automatically place distributed training jobs on nodes with the shortest physical interconnect distance?,Yes | No | Partial | Not Applicable,,0
AR_86,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,Do you use admission controllers (such as Kyverno or OPA) to automatically block any AI pod that lacks resource limits or approved security tags?,Yes | No | Partial | Not Applicable,,0
AR_87,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,Does your cluster management tool alert you within 60 seconds if a manual change is made to a golden configuration file?,Yes | No | Partial | Not Applicable,,0
AR_88,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Are you using Kata Containers or a similar VM-based isolation layer to ensure one tenant’s AI job cannot access the memory of another job on the same GPU?,Yes | No | Partial | Not Applicable,,0
AR_89,General,AI Engineering,mlops_model_operations_management,Cluster 5 — Operational & Infrastructure Risk,Does your orchestration layer automatically restart failed jobs from the last successful checkpoint without human intervention?,Yes | No | Partial | Not Applicable,,0
AR_90,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Are your AI workloads running in Trusted Execution Environments (hardware enclaves) to protect data and model weights from being viewed by the cloud provider or host OS?,Yes | No | Partial | Not Applicable,,0
AR_91,General,Governance & Compliance,legal_regulatory_compliance,"Cluster 4 — Governance, Compliance & Legal","Do you have automated infrastructure blocks that prevent any AI system from starting if it does not meet specific compliance tags (e.g., “High-Risk AI” per EU AI Act)?",Yes | No | Partial | Not Applicable,,0
AR_92,General,AI Engineering,agents_and_agent_orchestration,Cluster 5 — Operational & Infrastructure Risk,"Does every AI agent and automated script have a unique, cryptographically verifiable identity that is rotated every 24 hours?",Yes | No | Partial | Not Applicable,,0
AR_93,General,Governance & Compliance,audit_assurance_review,"Cluster 4 — Governance, Compliance & Legal","Are your system logs (access, training, and inference) stored in an immutable write-once vault that cannot be altered even by a system administrator?",Yes | No | Partial | Not Applicable,,0
AR_94,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Is your AI cluster microsegmented so that an infected GPU node cannot access your internal HR or financial databases?,Yes | No | Partial | Not Applicable,,0
AR_95,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Do you perform monthly AI red teaming specifically on your infrastructure to test whether your firewalls can detect indirect prompt injections or model inversion?,Yes | No | Partial | Not Applicable,,0
AR_96,General,AI Engineering,mlops_model_operations_management,Cluster 5 — Operational & Infrastructure Risk,Do you automatically re-index your vector database whenever the core LLM version is updated?,Yes | No | Partial | Not Applicable,,0
AR_97,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,"Do you validate all data entering your knowledge base to prevent adversarial context (e.g., a document that tricks the AI into giving illegal discounts)?",Yes | No | Partial | Not Applicable,,0
AR_98,General,Data & Privacy,privacy_personal_data_protection,"Cluster 2 — Data, Privacy & Information Assets",Is there an automated cleaning layer that strips PII from data before it is turned into vectors or embeddings?,Yes | No | Partial | Not Applicable,,0
AR_99,General,Data & Privacy,data_governance_quality_lineage_enterprise,"Cluster 2 — Data, Privacy & Information Assets","Does your database flag outdated knowledge (e.g., 2024 tax laws) so the AI does not use it to answer 2026 queries?",Yes | No | Partial | Not Applicable,,0
AR_100,General,Data & Privacy,data_access_control_usage,"Cluster 2 — Data, Privacy & Information Assets","In shared database environments, do you use metadata filtering to ensure the AI only retrieves data the specific user is allowed to see?",Yes | No | Partial | Not Applicable,,0
AR_101,General,Data & Privacy,data_access_control_usage,"Cluster 2 — Data, Privacy & Information Assets","In multi-team or multi-tenant environments, missing metadata filters can cause the AI to blend data from different departments or clients. This can lead to accidental cross-tenant retrieval, where one business unit gains visibility into another’s documents, embeddings, or knowledge assets.",Yes | No | Partial | Not Applicable,,0
AR_102,General,AI Engineering,LLM_prompting,Cluster 1 — AI Technical & Model Integrity,Is your prompt logic version-controlled and peer-reviewed just like your Python/Java code?,Yes | No | Partial | Not Applicable,,0
AR_103,General,Ethics & Responsible AI,human_oversight_intervention,Cluster 3 — Responsible AI & Ethics,"If a model’s reasoning contradicts a hard business rule, does the system automatically default to the safest fail-closed state?",Yes | No | Partial | Not Applicable,,0
AR_104,General,Cybersecurity,ai_system_security_adversarial_risk,Cluster 5 — Operational & Infrastructure Risk,Do you test your business logic against adversarial prompts designed to find logical contradictions in your rules?,Yes | No | Partial | Not Applicable,,0
AR_105,General,Data & Privacy,data_access_control_usage,"Cluster 2 — Data, Privacy & Information Assets","Does your AI act with the least privilege of the end user, or does it use a superuser service account?",Yes | No | Partial | Not Applicable,,0
AR_106,General,Data & Privacy,privacy_personal_data_protection,"Cluster 2 — Data, Privacy & Information Assets",Do your domain objects automatically mask secret fields (like SSNs) before they are passed into the AI’s context window?,Yes | No | Partial | Not Applicable,,0
AR_107,General,Data & Privacy,data_access_control_usage,"Cluster 2 — Data, Privacy & Information Assets","Does your entitlement layer prevent the AI from inferring sensitive relationships (e.g., “Who does User X report to?”)?",Yes | No | Partial | Not Applicable,,0
AR_108,General,Data & Privacy,data_access_control_usage,"Cluster 2 — Data, Privacy & Information Assets","Are permissions re-checked at the moment of AI execution, or only when the user first logs in?",Yes | No | Partial | Not Applicable,,0
AR_109,General,Governance & Compliance,accountability_responsibility_assignment_formal,Cluster 3 — Responsible AI & Ethics,Can every AI-driven object modification be traced back to both the model ID and the authorizing human?,Yes | No | Partial | Not Applicable,,0
AR_110,General,Data & Privacy,data_access_control_usage,"Cluster 2 — Data, Privacy & Information Assets","Do you inspect the data leaving the repository to ensure the AI is not pulling 1,000+ rows when it only asked for 1?",Yes | No | Partial | Not Applicable,,0
AR_111,General,AI Engineering,agents_and_agent_orchestration,Cluster 5 — Operational & Infrastructure Risk,Is there a hard limit on how many semantic searches an agent can perform in a one-minute window?,Yes | No | Partial | Not Applicable,,0
AR_112,General,Data & Privacy,data_security_protection,"Cluster 2 — Data, Privacy & Information Assets",Are the embeddings and the raw data they point to encrypted with customer-managed keys (CMK)?,Yes | No | Partial | Not Applicable,,0
AR_113,General,AI Engineering,model_training_data_management,Cluster 1 — AI Technical & Model Integrity,"Is your AI repo pinned to a specific data snapshot, preventing it from using live data during a training or fine-tuning run?",Yes | No | Partial | Not Applicable,,0
AR_114,General,Data & Privacy,privacy_personal_data_protection,"Cluster 2 — Data, Privacy & Information Assets",Does your repository support private information retrieval where the database does not actually know what the AI is searching for?,Yes | No | Partial | Not Applicable,,0
AR_115,General,AI Engineering,mlops_model_operations_management,Cluster 5 — Operational & Infrastructure Risk,Do you have an automated shut-off if an AI service starts consuming 500% more tokens than its historical average?,Yes | No | Partial | Not Applicable,,0
AR_116,General,IT Infrastructure,deployment_release_management,Cluster 1 — AI Technical & Model Integrity,Does your service manager run shadow tests (comparing a new model’s logic against an old one) before a full rollout?,Yes | No | Partial | Not Applicable,,0
AR_117,General,AI Engineering,agents_and_agent_orchestration,Cluster 5 — Operational & Infrastructure Risk,"Does the service manager check if the AI’s intended action (e.g., “Send Email”) matches the original user’s request?",Yes | No | Partial | Not Applicable,,0
AR_118,General,Ethics & Responsible AI,human_oversight_intervention,Cluster 3 — Responsible AI & Ethics,"For high-impact actions, does the service manager pause and wait for a human OK in Slack or Teams before executing?",Yes | No | Partial | Not Applicable,,0
AR_119,General,IT Infrastructure,incident_response_recovery,Cluster 5 — Operational & Infrastructure Risk,"Can you instantly disable a specific AI service (e.g., “Customer Support Bot”) without taking down your entire IT infrastructure?",Yes | No | Partial | Not Applicable,,0
AR_120,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,"If your primary AI API provider (e.g., OpenAI or Anthropic) goes offline for 4+ hours, can your system automatically fail over to a secondary provider or an internal open-source model?",Yes | No | Partial | Not Applicable,,0
AR_121,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,Do you have a centralized cloud governance framework enforced across all business units and cloud environments?,Yes | No | Partial | Not Applicable,,
AR_122,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,"Are ownership and accountability clearly defined for every cloud resource, including escalation paths during incidents?",Yes | No | Partial | Not Applicable,,
AR_123,General,Governance & Compliance,board_executive_oversight,"Cluster 4 — Governance, Compliance & Legal",Is there a formal process to review and escalate critical cloud infrastructure risks to executive leadership?,Yes | No | Partial | Not Applicable,,
AR_124,General,Risk & Security,third_party_vendor_supply_chain,Cluster 5 — Operational & Infrastructure Risk,Do you have a formal third-party cloud provider risk management program covering dependency mapping and exit strategies?,Yes | No | Partial | Not Applicable,,
AR_125,General,IT Infrastructure,cloud_provider_technical_environment,Cluster 5 — Operational & Infrastructure Risk,"Is there a standardized cloud architecture and policy framework (e.g., landing zones, guardrails) enforced automatically?",Yes | No | Partial | Not Applicable,,
